Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,Media,Media,Media,Media,Media,Media,Media,Media,Media
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,MB1112,MB1112,MB1112,MB1113,MB1113,MB1113,MB1114,MB1114,MB1114,MB1115,MB1115,MB1115,MB1116,MB1116,MB1116,MB1117,MB1117,MB1117,MB1109,MB1109,MB1109,MB1110,MB1110,MB1110,MB1111,MB1111,MB1111
Compound,m/z,Retention time (min),200826_PTY087I2_0umce1_r1,200826_PTY087I2_0umce1_r2,200826_PTY087I2_0umce1_r3,200826_PTY087I2_0umce2_r1,200826_PTY087I2_0umce2_r2,200826_PTY087I2_0umce2_r3,200826_PTY087I2_0umce3_r1,200826_PTY087I2_0umce3_r2,200826_PTY087I2_0umce3_r3,200826_PTY087I2_250umce1_r1,200826_PTY087I2_250umce1_r2,200826_PTY087I2_250umce1_r3,200826_PTY087I2_250umce2_r1,200826_PTY087I2_250umce2_r2,200826_PTY087I2_250umce2_r3,200826_PTY087I2_250umce3_r1,200826_PTY087I2_250umce3_r2,200826_PTY087I2_250umce3_r3,200826_media1_r1,200826_media1_r2,200826_media1_r3,200826_media2_r1,200826_media2_r2,200826_media2_r3,200826_media3_r1,200826_media3_r2,200826_media3_r3
4.62_719.1604m/z,719.1604338999997,4.623133333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.6553712,385.816436,337.192808,284.2317503999999,313.2479474,330.7817425,285.1406342,272.7300623,300.5573231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.62_1697.5029m/z,1697.502881,4.623133333,10.01611304,9.66253674,29.98074918,0.0,0.0,0.0,6.093011084,4.326850622,3.273681641,166.763302,154.13364209999997,100.3763061,89.46775778,94.82428578,82.25577134,70.36167831,48.68261692,59.35160587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.62_1415.4155m/z,1415.415459,4.623133333,0.0,0.0,0.0,0.0,0.0,0.0,6.7288150710000005,0.0,0.0,104.0804016,97.95521874,98.34772373,39.12131068,53.99740636,58.24250938,15.94747793,8.522644043,26.09454322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.46_438.1982m/z,438.19817080000007,1.4645166669999998,59.87080389,54.80783081,61.16604626,67.64969012,59.87016231,59.83662426,64.57518721,73.24882821,69.17858881,51.63136486,56.44264221,36.01870728,48.46417733,49.38476586,41.29333502,48.5710299,31.10917658,52.35231204,216.9988886,217.9696439,203.653677,198.7399177,207.6362708,200.4167691,203.5574909,190.5329826,196.9870347
1.46_276.1451m/z,276.1451351,1.4645166669999998,757.3198936000001,808.8924261,805.8918041000003,950.4811461000003,933.2087593,940.4234613,806.6813015,825.1536302000003,845.5873857,538.6485886,544.3963227,517.3386067,471.7399431,466.8324678,440.0581531,526.9081221,490.43054810000007,544.3680841,1191.1795619999998,1218.970904,1174.353715,1175.619,1234.8296300000004,1202.08058,1240.145794,1174.948573,1234.383743
1.46_230.1145m/z,230.11451459999998,1.4645166669999998,243.9722659,258.1556314,260.9879304,241.49939730000003,216.124144,205.8278945,209.4548789,206.8242462,215.83365580000003,198.6384446,199.9752958,180.935936,180.9879895,173.2283368,176.80017019999997,173.1760044,139.54794040000002,154.72126699999995,216.7123023,230.0981172,201.8453982,201.4987233,210.33624080000004,204.0723678,189.6067101,188.703598,197.5147344
1.46_618.2592m/z,618.2592452,1.4645166669999998,37.24588037,43.1346867,35.04574585,45.34799668,44.78849148,46.80631167,39.12553332,46.75912499,47.01698044,38.92175283,37.50057943,42.02347304,31.4695564,39.38837315,31.44158959,42.83267159,37.17479101,35.99505681,25.8278675,19.22841326,12.70526111,17.98239148,21.88462164,8.302062988,12.22891656,11.69998169,20.76619662
2.31_265.6684m/z,265.66843470000003,2.3109666669999998,0.0,0.0,2.137743372,0.0,0.0,1.289847381,0.0,0.0,1.011184692,4.083834791,2.287796021,0.0,1.374912287,0.6302185060000001,0.0,1.590408325,1.014770508,0.442425356,67.75404483,64.58162356,58.44630339,54.27425576,62.0048497,71.83651723,62.37963001,68.68829132,65.88903988
2.44_432.5829m/z,432.58293679999997,2.439083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.80538384,74.6181811,63.37926482,64.96348619,64.84690297,69.17193954,56.52938203,65.43886059,75.34615183
2.44_1016.0964m/z,1016.096416,2.439083333,0.0,0.0,0.0,0.0,0.0,0.0,58.86728585,57.78160037,73.97287239,4.947143555,0.0,0.0,4.926269531,5.782104492,12.10693359,4.480957031,0.0,4.863647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
