Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
5.29_579.1480m/z,579.1480312000001,5.291816667,0.14803120000010495,True,True,0.29878610425133123,0.1632209096768935,True,True, 0um_Ce 250um_Ce,100.0,101.10577510555555,2.004775962958393,0.6598397993711804,0.6093358737860436,6.643856189774724
2.22_343.5045m/z,343.50449239999995,2.218133333,0.5044923999999469,True,True,0.30017064678880595,0.17944057995405654,True,True, 250um_Ce Media,0.01,52.338596267777774,1.7188220705901949,3.3787846946060585,2.8773948651594594,-6.643856189774724
4.12_277.0519m/z,277.0518594,4.118116667,0.0518594000000121,True,True,0.6054412427317949,0.3803695042862186,False,True, 0um_Ce 250um_Ce cv,100.0,28.713084762222234,1.4580798530065755,0.6927494190561999,,6.643856189774724
0.84_310.1750m/z,310.1750397,0.838483333,0.17503970000001345,False,True,,,True,True, relfil,,,,,,
2.73_173.0793m/z,173.0792803,2.73045,0.07928029999999353,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,0.4727893854587411,153.53912505555553,2.1862190614458528,2.5269939579875125,,-1.0807304487922544
3.58_325.0711m/z,325.0710776,3.584416667,0.07107760000002372,True,True,0.2486022915371039,0.1363346190435339,True,True, 0um_Ce 250um_Ce,100.0,55.38651334777778,1.7434040266111914,0.8240461404472332,0.7512379100913669,6.643856189774724
1.20_446.1599m/z,446.1598898,1.200716667,0.15988979999997355,True,True,0.2856944610329089,0.22364521591280545,False,True, 0um_Ce 250um_Ce Media cv,3.854258390820477,18.413473220000004,1.2651357145231004,2.190212204695796,,1.9464532936521635
1.93_323.6734m/z,323.6733594,1.92675,0.6733593999999812,True,True,0.6611085558877351,0.446258619916206,False,True, 250um_Ce Media cv,0.01,33.362035686666665,1.5232525425805996,3.200102291926692,,-6.643856189774724
1.90_391.1935m/z,391.1934733,1.898183333,0.1934732999999937,True,True,0.3749257470577113,0.2889837423460638,False,False, 0um_Ce 250um_Ce Media cv insource,0.01907334519536437,268.1047519666666,2.4283045116129136,8.269866961486171,,-5.7122982955984325
0.80_369.1700m/z,369.1700447,0.7956333329999999,0.17004470000000538,True,True,0.5614966504626753,0.4343876643673969,False,True, 0um_Ce 250um_Ce Media cv,30.70013707327716,61.02740370444445,1.7855248941116364,4.795480419426322,,4.940173191997335
2.37_462.1416m/z,462.14161050000007,2.3674,0.1416105000000698,True,True,0.469283368045981,0.1741513023337263,True,True, 0um_Ce 250um_Ce Media,1.0031870235739693,50.83495049333334,1.7061624049466129,0.0017085931550574062,0.0017085931550574062,0.004590591822602909
3.74_502.1356m/z,502.1355794,3.740816667,0.13557939999998325,True,True,0.6055906399756925,0.3154703809536921,False,True, 0um_Ce 250um_Ce cv,100.0,17.28040408711111,1.2375538938576125,0.3679270396694669,,6.643856189774724
1.94_340.1729m/z,340.1728923,1.941033333,0.1728923000000009,True,True,0.7055958849635795,0.8937553142849367,False,False, 0um_Ce 250um_Ce Media cv insource,0.012192391419632076,110.41408483555556,2.0430244771630357,6.213883433444827,,-6.357875065385842
0.80_668.1930m/z,668.1929621,0.802766667,0.1929621000000452,True,True,0.3433753373972111,0.25415705240324643,False,True, 0um_Ce 250um_Ce Media cv,0.6415642018303784,31.61358584555556,1.49987375950973,1.146793072437848,,-0.6403344507295561
2.69_211.0749m/z,211.0749395,2.688316667,0.07493949999999927,True,True,0.8469322455461896,0.3704898456917208,False,True, 0um_Ce 250um_Ce cv,1.8227042905522173,18.447296630777775,1.2659327312344792,0.1383027155778069,,0.8660805223432719
2.19_298.1580m/z,298.1579536000001,2.190283333,0.1579536000000985,True,True,0.3702703755355137,0.15851311538093052,True,False, 0um_Ce 250um_Ce Media insource,0.016385556016398597,198.0145538666667,2.2966971116337374,8.797932331309903,,-5.931431560623637
1.93_372.1967m/z,372.1967258,1.92675,0.19672580000002424,True,True,0.4992503553363479,0.3431145792394767,False,True, 0um_Ce 250um_Ce Media cv,0.011691283894962046,208.62441574444438,2.319365133441316,7.1375516870429685,,-6.418422819598375
0.81_1266.4311m/z,1266.4311289999996,0.809916667,0.43112899999960064,True,True,0.22747562340823066,0.160381489554157,True,False, 0um_Ce 250um_Ce Media insource,8.985560657678073,101.27477149,2.0055012719420837,4.060399790091225,,3.1676085240821017
0.73_926.6894m/z,926.6893628,0.73135,0.6893628000000263,True,True,0.6039722756671588,0.3357058748624968,False,True, 0um_Ce 250um_Ce Media cv,22.696923050421113,12.61785792477778,1.1009856330055805,2.268403560259763,,4.504424824087154
2.47_603.2786m/z,603.2786298999997,2.467633333,0.278629899999828,True,True,0.2907511260692852,0.2563756890399909,False,True, 0um_Ce 250um_Ce Media cv,2.1725224244493604,27.90651239111111,1.4457055640437015,1.2946419494772896,,1.1193710683975222
2.85_224.0923m/z,224.0922793,2.845,0.09227930000000127,True,True,0.7810368176051158,0.8309174904465695,False,True, 0um_Ce 250um_Ce cv,100.0,26.996569538888888,1.4313085817521911,0.772651331955194,,6.643856189774724
3.11_254.0678m/z,254.0678009,3.108066667,0.06780090000000882,True,True,0.7219965471176318,0.5698615120217311,False,False, 0um_Ce 250um_Ce cv insource,100.0,18.85069671222222,1.2753274061429758,0.5091269966639087,,6.643856189774724
3.90_582.1608m/z,582.1607893999999,3.90435,0.16078939999988506,True,True,0.38455472683299136,0.21706556990473946,False,True, 250um_Ce cv,,19.73783752577778,1.2952995697081529,,,
0.67_261.1492m/z,261.1492174,0.6677833329999999,0.14921739999999772,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,0.09570660432013413,364.5552466666666,2.5617633529677013,7.87013968832811,,-3.3852377071621325
1.98_396.2069m/z,396.2069377,1.976733333,0.20693770000002587,True,True,0.4456056518935889,0.5215861316080312,False,False, 0um_Ce 250um_Ce Media cv insource,0.01804287797216747,214.61511927777786,2.3316603140307444,7.084937393552421,,-5.79242671232245
1.21_291.1414m/z,291.1414083,1.20815,0.14140830000002325,True,True,0.0898798723308879,0.08256998930937035,True,True, 0um_Ce 250um_Ce Media,0.4743398716251983,123.23141683866669,2.0907214417593374,4.143552379287216,3.4851159213882847,-1.076006952638408
8.00_1546.1728m/z,1546.172764,8.00185,0.17276399999991554,True,True,1.060768784899485,1.0514380119455793,False,True, Media cv,0.01,53598.13046986666,4.729149641543876,0.5753974402047333,,-6.643856189774724
2.23_421.7356m/z,421.7356141,2.225283333,0.7356141000000207,True,True,0.791138494804053,0.6132719396469529,False,True, 250um_Ce Media cv,0.01,53.94127631333333,1.7319212181509869,2.1447264198642686,,-6.643856189774724
5.55_429.1194m/z,429.11941280000013,5.5476666670000006,0.1194128000001342,True,True,0.3148896069212958,0.18042715948187896,True,True, 0um_Ce 250um_Ce,100.0,46.18047277777779,1.664458374742462,2.9059518035830623,2.4944868577981283,6.643856189774724
0.75_656.8972m/z,656.8972181,0.745633333,0.8972181000000319,True,True,0.3138760042619572,0.2122005630210073,False,True, 0um_Ce 250um_Ce cv,100.0,30.316268637777767,1.481675746770499,2.141563967529068,,6.643856189774724
1.01_81.5211m/z,81.52107991,1.0093,0.5210799099999974,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,1.0711387629042632,2117.811662,3.3258873354735337,1.4688668429044551,,0.09914538913214554
