,,,0um_Ce,0um_Ce,0um_Ce,250um_Ce,250um_Ce,250um_Ce,Media,Media,Media
,,,,,,,,,,,
Compound,m/z,Retention time (min),MB1112,MB1113,MB1114,MB1115,MB1116,MB1117,MB1109,MB1110,MB1111
0.72_558.8593m/z,558.8592555,0.724216667,121.77666195666667,104.30779481333333,120.34122803666668,118.61099094333333,105.07946209666666,101.32714210333334,65.41361005,64.02009468333334,57.35075127333334
0.72_559.0212m/z,559.0212343,0.7170833329999999,0.0,0.0,0.0,0.0,0.0,0.0,41.516256926666664,46.35607320666667,38.29242337
0.72_582.8641m/z,582.8641203,0.7170833329999999,207.84119239999998,203.37422619999998,193.07658336666668,218.32006943333332,207.91604126666667,200.51710053333332,199.59936743333333,197.32640579999997,179.37826256666665
0.72_590.8521m/z,590.8520568,0.724216667,34.701619306666664,37.98847417333334,29.031537010000005,30.953172839999997,31.151117466666665,32.38713853,19.575676393333335,22.583742293333334,18.19636851
0.72_593.8270m/z,593.8270052999999,0.724216667,50.935833498666675,45.19316580466667,47.264495877,49.102017481,45.17684644599999,47.033376323666666,53.55278523333334,43.93926659033334,40.232717866
0.72_598.8419m/z,598.841864,0.724216667,31.24670356333333,32.38989424333334,29.73706862666667,25.030917576666667,35.47802577,30.868445636666667,21.064928446666666,23.589045613333337,20.22713715
0.72_626.8466m/z,626.8466034,0.724216667,64.12118245666666,61.77541336666667,65.77225220666666,61.98176015333333,61.20765035333333,64.49977194,29.26721884,31.67236294,29.93130218
0.72_632.8113m/z,632.8113162999998,0.724216667,33.28684486666666,32.18506869666667,35.093481063333336,35.74723286333333,35.920253153333334,34.61589299333334,22.183740886666666,23.190406496666668,20.32822886
0.72_637.8511m/z,637.8510824,0.724216667,41.554804143333335,39.251174344,30.16125586833333,50.575034536666664,42.80767271033333,49.64186617333334,38.86861675666666,37.44556635966667,42.9794924
0.72_64.0165m/z,64.01653449,0.7170833329999999,67.83100793,64.81569705,69.33690205333333,65.66674773999999,60.920451093333334,58.44108981666667,56.441620666666665,61.74835146,55.97701009666667
0.72_640.8226m/z,640.822591,0.724216667,38.811512310000005,35.458875836666664,38.169069666666665,40.6594968,39.911989903333335,40.62870554333333,35.69671757333333,34.80814461,33.30981765666667
0.72_653.8222m/z,653.8222023,0.724216667,34.147754920000004,32.153243690000004,32.603317796666666,32.09252467666667,27.929097279999997,33.78159622333334,7.784779919333334,15.171401053333334,7.521266205333333
0.72_658.8353m/z,658.8353102000002,0.724216667,42.05042187666667,39.74543475666667,37.08020359333333,32.39706002,35.055079580000005,32.677815716666665,17.433138136666667,22.442856510000002,20.726437563333334
